Title3,Following Perseus,Greek,English,Benjamin Jowett,Schleiermacher,Primary translation,Literal translation,Secondary translation
0059-003|71.|Cr.46a.3.,0059-003|66.|Cr.46a,"τῆς γὰρ ἐπιούσης νυκτὸς πάντα ταῦτα δεῖ πεπρᾶχθαι, εἰ δ᾽ ἔτι περιμενοῦμεν, ἀδύνατον καὶ οὐκέτι οἷόν τε. ",for all this must be done in the coming night. And if we delay it can no longer be done. ,"which must be done, if at all, this very night, and which any delay will render all but impossible; ","Denn in der nächsten Nacht muß dies alles geschehen sein, oder wenn wir zaudern ist es unausführbar und nicht mehr möglich.",زیرا همه‌ی این‌ها می‌بایست در شب آتی صورت پذیرد و اگر درنگ کنیم دیگر ممکن و میسر نخواهد بود.,چرا که انجام گرفتن همه‌ی این‌ها طی شب پیش‌ رو می‌بایست، و اگر همچنان درنگ کنیم دیگر ممکن [نبوده] و [نخواهیم] توانست.,زیرا تمام این کارها طی شب پیش رو باید انجام گیرد، و اگراکنون تعلل کنیم دیگر  درمی‌مانیم و مقدور نخواهد بود.
0059-003|72.|Cr.46a.4.,0059-003|66.|Cr.46a,"ἀλλὰ παντὶ τρόπῳ, ὦ Σώκρατες, πείθου μοι καὶ μηδαμῶς ἄλλως ποίει.","But I beg you, Socrates, do as I say and don't refuse.","I beseech you therefore, Socrates, to be persuaded by me, and to do as I say.","Also auf alle Weise, Sokrates, gehorche mir, und tue ja nicht anders.",به هر روی، ای سقراط، به من گوش بدار و هیچ کاری جز این مکن.,اما به هر طریق، ای سقراط، از من پیروی کن و هیچ [کار] دیگر مکن.,ای سقراط، اما به هر جهت از من پیروی کن و به هیچ روی پاسخ رد مده.
0059-003|73.|Cr.46b.1.,0059-003|70.|Cr.46b,"Σωκράτης. ὦ φίλε Κρίτων, ἡ προθυμία σου πολλοῦ ἀξία εἰ μετά τινος ὀρθότητος εἴη: ","Socrates. My dear Crito, your eagerness is worth a great deal, if it should prove to be rightly directed; ","Soc. Dear Crito, your zeal is invaluable, if a right one;","Sokrates: Deine Sorge um mich, du lieber Kriton, ist viel wert, wenn sie nur irgend mit dem Richtigen bestehen könnte",سقراط: ای کریتون عزیز، اشتیاق تو بسی ارزنده است اگر با راستی مقرون باشد.,سقراط: ای کریتون عزیز، اشتیاق تو بسیار ارزشمند [است] اگر همراه با راستی باشد.,سقراط: ای کریتون گرامی، اصرار تو بسیار مغتنم است، اگر در طلب درستی باشد.
0059-003|74.|Cr.46b.2.,0059-003|70.|Cr.46b,"εἰ δὲ μή, ὅσῳ μείζων τοσούτῳ χαλεπωτέρα. ","but otherwise, the greater it is, the more hard to bear.","but if wrong, the greater the zeal the greater the evil;","wo aber nicht, so ist sie je dringender um desto peinlicher.",وگرنه هرچه این اشتیاق شدیدتر باشد بسی دشوارتر است.,و اگر نه، هر چه بیشتر به همان اندازه سخت‌تر. ,در غیر این صورت هر اندازه اصرار تو شدیدتر باشد دشوارتر است.
0059-003|75.|Cr.46b.3.,0059-003|70.|Cr.46b,σκοπεῖσθαι οὖν χρὴ ἡμᾶς εἴτε ταῦτα πρακτέον εἴτε μή: ,So we must examine the question whether we ought to do this or not; ,and therefore we ought to consider whether these things shall be done or not. ,Wir müssen also erwägen ob dies wirklich tunlich ist oder nicht. ,بنابراین ما بایستی بسنجیم که آیا باید این کار را کرد یا نه؛,از این رو بر ما لازم است آزمودن [اینکه] آیا باید این‌ها را انجام داد یا نه؛,پس ما باید بررسی کنیم که باید این امور را انجام دهیم یا خیر؛
0059-003|76.|Cr.46b.4.,0059-003|70.|Cr.46b,ὡς ἐγὼ οὐ νῦν πρῶτον ἀλλὰ καὶ ἀεὶ τοιοῦτος οἷος τῶν ἐμῶν μηδενὶ ἄλλῳ πείθεσθαι ἢ τῷ λόγῳ ὃς ἄν μοι λογιζομένῳ βέλτιστος φαίνηται. ,for I am not only now but always a man who follows nothing but the reasoning which on consideration seems to me best. ,"For I am and always have been one of those natures who must be guided by reason, whatever the reason may be which upon reflection appears to me to be the best;","Denn nicht jetzt nur, sondern schon immer habe ich ja das an mir, daß ich nichts anderem von mir gehorche, als dem Satze, der sich mir bei der Untersuchung als der beste zeigt.",چرا که من اکنون نه برای نخستین بار، بلکه همواره این چنین بوده است که از هیچ یک از کسان خود پیروی نکردم مگر از استدلالی که با سنجش به نظرم بهترین آید.,زیرا من نه اکنون برای نخستین بار، بلکه همواره این چنین [بوده که] از هیچ یک از آنِ خود پیروی نکردم مگر از سخنی سنجیده که بر من بهترین بنماید.,چرا که من نه اکنون برای اولین بار، بلکه همیشه این چنین از هیچ یک از کسان خود پیروی نکرده‌ام، مگر از برهانی مستدل که به نظرم عالی‌ترین باشد.
0059-003|77.|Cr.46c.1.,0059-003|70.|Cr.46b,"τοὺς δὴ λόγους οὓς ἐν τῷ ἔμπροσθεν ἔλεγον οὐ δύναμαι νῦν ἐκβαλεῖν, ἐπειδή μοι ἥδε ἡ τύχη γέγονεν, ἀλλὰ σχεδόν τι ὅμοιοι φαίνονταί μοι, καὶ τοὺς αὐτοὺς πρεσβεύω καὶ τιμῶ οὕσπερ καὶ πρότερον:","And I cannot, now that this has happened to us, discard the arguments I used to advance, but they seem to me much the same as ever, and I revere and honor the same ones as before.","and now that this fortune has come upon me, I cannot put away the reasons which I have before given: the principles which I have hitherto honored and revered I still honor, ","Das aber, was ich schon ehedem in meinen Reden festgesetzt habe, kann ich ja nun nicht verwerfen, weil mir dieses Schicksal geworden ist; sondern jene Reden erscheinen mir noch ganz als dieselben, und ich schätze und ehre sie noch eben so wie vorher. ",حال که چنین سرنوشتی برایم رقم خورده است، نمی‌توانم استدلال‌هایی را که پیش‌تر از آنها دم زده‌ام کنار بگذارم، بلکه کمابیش بر من همسان می‌نمایند، و همچون گذشته آنها را مقدم می‌دانم و ارج می‌نهم.,پس اینک انکار کردن سخنانی را که در گذشته می‌گفتم نمی‌توانم، حال که چنین سرنوشتی برای من رخ داده است، بلکه کمابیش بر من همسان می‌نمایند، و آنها را مقدم می‌دانم و مثل قبل محترم می‌شمارم.,حال که این تیره‌بختی برایم پیش آمده است، نمی‌توانم برهان‌هایی که پیش‌تر از آنها سخن گفته‌ام به دور افکنم، بلکه به نظرم کمابیش یکسان می‌رسند، و همچون گذشته آنها را معتبر می‌دانم و ارج می‌نهم.
0059-003|78.|Cr.46c.2.,0059-003|75.|Cr.46c,"ὧν ἐὰν μὴ βελτίω ἔχωμεν λέγειν ἐν τῷ παρόντι, εὖ ἴσθι ὅτι οὐ μή σοι συγχωρήσω, οὐδ᾽ ἂν πλείω τῶν νῦν παρόντων ἡ τῶν πολλῶν δύναμις ὥσπερ παῖδας ἡμᾶς μορμολύττηται, δεσμοὺς καὶ θανάτους ἐπιπέμπουσα καὶ χρημάτων ἀφαιρέσεις. ","And unless we can bring forward better ones in our present situation, be assured that I shall not give way to you, not even if the power of the multitude frighten us with even more terrors than at present, as children are frightened with goblins, threatening us with imprisonments and deaths and confiscations of property. ","and unless we can find other and better principles on the instant, I am certain not to agree with you; no, not even if the power of the multitude could inflict many more imprisonments, confiscations, deaths, frightening us like children with hobgoblin terrors. ","Wenn wir also nicht bessere als sie jetzt vorzutragen haben: so wisse nur, daß ich dir nicht nachgeben werde, und wenn auch die Macht der Menge noch mehr als schon geschieht, um uns wie Kinder einzuschrecken, Gefangenschaft und Tod auf uns los ließe und Verlust des Vermögens. ",اگر در وضع موجود استدلالی بهتر از آنها نداشته باشیم، نیک بدان که هرگز به تو گردن ننهم، نه حتی اگر قدرت عموم مردم بیشتر از اکنون ما را همچون کودکان با حبس و مرگ و مصادره‌ی اموال بترساند.,اگر در شرایط فعلی سخنی بهتر از آنها نداشته باشیم، نیک بدان که هرگز به تو گردن ننهم، نه حتی اگر قدرت اکثریت همچون کودکان بیش از وضع حاضر حبس و مرگ و مصادره‌ی اموال را [بر ما] هموار داشته، ما را بهراساند.,اگر در وضع پیش‌آمده برهانی بهتر از این نداشته باشیم، نیک بدان که هرگزتسلیم تو نشوم، نه حتی اگر نیروی مردمان بیشتر از اکنون ما را همچون کودکان با فرستادن در پی اسارت و مرگ و مصادره‌ی دارایی‌ها بترساند.
0059-003|79.|Cr.46c.3.,0059-003|75.|Cr.46c,πῶς οὖν ἂν μετριώτατα σκοποίμεθα αὐτά; ,Now how could we examine the matter most reasonably?,But what will be the fairest way of considering the question? ,Wie können wir also dies recht zu unserer Befriedigung untersuchen? , حال چگونه این‌ها را به سزاوارترین وجه بسنجیم؟,بنابراین چگونه به نحو احسن آن‌ها را بیازماییم؟,حال چگونه این‌ مسائل‌ را به نحو احسن بررسی کنیم؟ 
0059-003|80.|Cr.46c.4.,0059-003|75.|Cr.46c,"εἰ πρῶτον μὲν τοῦτον τὸν λόγον ἀναλάβοιμεν, ὃν σὺ λέγεις περὶ τῶν δοξῶν. ",By taking up first what you say about opinions and asking ,"Shall I return to your old argument about the opinions of men, ","Wenn wir zuerst den Satz aufnehmen wegen der Meinungen von dem du sprichst, ",چه بسا نخست آن سخنی را که تو درباره‌ی عقاید گفتی پی بگیریم.,اگر نخست آن سخنی را در پیش بگیریم که تو پیرامون نظرات می‌گویی؛,چه بسا در ابتدا از آن گزاره‌ای که تو در باب پندارها گفتی آغاز کنیم.
0059-003|81.|Cr.46d.1.,0059-003|75.|Cr.46c,"πότερον καλῶς ἐλέγετο ἑκάστοτε ἢ οὔ, ὅτι ταῖς μὲν δεῖ τῶν δοξῶν προσέχειν τὸν νοῦν, ταῖς δὲ οὔ;",whether we were right when we always used to say that we ought to pay attention to some opinions and not to others?,"some of which are to be regarded, and others, as we were saying, are not to be regarded? ","ob wohl für jeden Fall gut gesagt war oder nicht, daß man auf einige Meinungen zwar achten müsse, auf andere aber nicht? ",آیا همواره درست می‌گفتیم که باید به برخی عقاید توجه کرد و به برخی دیگر نه؟,آیا هر بار به نیکویی گفته می‌شد یا نه، که ذهن را به برخی نظرات معطوف کردن می‌باید و به برخی دیگر نه؟,آیا در همه حال نیک می‌گفتیم یا خیر، که باید به بعضی عقاید اعتنا داشت و به بعضی نه؟
0059-003|82.|Cr.46d.2.,0059-003|79.|Cr.46d,"ἢ πρὶν μὲν ἐμὲ δεῖν ἀποθνῄσκειν καλῶς ἐλέγετο, νῦν δὲ κατάδηλος ἄρα ἐγένετο ὅτι ἄλλως ἕνεκα λόγου ἐλέγετο, ἦν δὲ παιδιὰ καὶ φλυαρία ὡς ἀληθῶς; ","Or were we right before I was condemned to death, whereas it has now been made clear that we were talking merely for the sake of argument and it was really mere play and nonsense? ","Now were we right in maintaining this before I was condemned? And has the argument which was once good now proved to be talk for the sake of talking; in fact an amusement only, and altogether vanity?","Oder ob es zwar ehe ich sterben sollte gut gesagt war, nun aber offenbar geworden ist, daß es nur obenhin des Redens wegen gesagt, in der Tat aber nichts war als Scherz und Geschwätz?",یا پیش‌ از آنکه مرا مردن می‌بایست درست می‌گفتیم، اما اکنون آشکار شد که صرف سخن‌وری چنان می‌گفتیم و لیکن به‌ راستی لَهو بود و لَغو؟,یا پیش‌تر از بایستن مردن من به نیکویی گفته می‌شد، اما اینک آشکار شد که در غیر این صورت بهر سخن، گفته می‌شد و لیکن در حقیقت بازی کودکانه و مُهمل بود؟,یا تا پیش از محکوم شدن من به مرگ نیک می‌گفتیم، اما حال به منصه ظهور رسید که محض استدلال چنان می‌گفتیم، ولی در حقیقت سرگرمی و یاوه‌سرایی بود؟
0059-003|83.|Cr.46d.3.,0059-003|79.|Cr.46d,"ἐπιθυμῶ δ᾽ ἔγωγ᾽ ἐπισκέψασθαι, ὦ Κρίτων, κοινῇ μετὰ σοῦ εἴ τί μοι ἀλλοιότερος φανεῖται, ἐπειδὴ ὧδε ἔχω, ἢ ὁ αὐτός, καὶ ἐάσομεν χαίρειν ἢ πεισόμεθα αὐτῷ. ","And I wish to investigate, Crito, in common with you, and see whether our former argument seems different to me under our present conditions, or the same, and whether we shall give it up or be guided by it. ","That is what I want to consider with your help, Crito: whether, under my present circumstances, the argument appears to be in any way different or not; and is to be allowed by me or disallowed.","Ich meines Teils habe Lust, Kriton, dies mit dir gemeinschaftlich zu untersuchen: ob diese Rede mir jetzt etwa wunderlicher erscheinen wird, nun es so mit mir steht, oder noch eben so; und dem gemäß wollen wir sie entweder gehen lassen oder ihr gehorchen. ",ای کریتون، من راغبم که همراه با تو به اتفاق تحقیق کنیم، که حال که در چنین وضعیتی هستم آیا این‌ سخن بر من دیگر گونه می‌نماید یا همان، و رهایش می‌کنیم و یا از آن پیروی خواهیم کرد؟,من به کاویدن مشترکاً با تو مشتاقم، ای کریتون، که آیا چیزی بر من متفاوت‌تر می‌نماید، حال که چنین هستم، یا همان [است]، و [آن را] وا می‌نهیم یا از آن پیروی خواهیم کرد؟,ای کریتون، من مشتاقم که دوشادوش تو با یکدیگر وارسی کنیم، که حال که در چنین وضعی هستم آیا این سخن به نظر من متفاوت می‌رسد یا یکسان، و آن را فرو می‌گذاریم و یا از آن تبعیت خواهیم کرد؟
0059-003|84.|Cr.46e.1.,0059-003|79.|Cr.46d,"ἐλέγετο δέ πως, ὡς ἐγᾦμαι, ἑκάστοτε ὧδε ὑπὸ τῶν οἰομένων τὶ λέγειν, ὥσπερ νυνδὴ ἐγὼ ἔλεγον, ὅτι τῶν δοξῶν ἃς οἱ ἄνθρωποι δοξάζουσιν δέοι τὰς μὲν περὶ πολλοῦ ποιεῖσθαι, τὰς δὲ μή.","But it used to be said, I think, by those who thought they were speaking sensibly, just as I was saying now, that of the opinions held by men some ought to be highly esteemed and others not.","That argument, which, as I believe, is maintained by many who assume to be authorities, was to the effect, as I was saying, that the opinions of some men are to be regarded, and of other men not to be regarded. ","So aber, glaube ich, wurde sonst immer von denen behauptet, die etwas zu sagen meinten, wie ich jetzt eben sagte, daß von den Meinungen, welche die Menschen hegen, man einige zwar sehr hoch achten müsse, Andere aber nicht. ",لیک بر این باورم که همواره از جانب آنانی که سنجیده سخن می‌گویند چنین گفته شده است، مانند آنچه که اکنون من گفتم، که به برخی از عقایدی که افراد بدان معتقد هستند باید ارجِ بسیار نهاد وبه برخی نه.,لیک چنین باور دارم که هر بار از جانب آنان که می‌دانند چه بگویند چنین گفته می‌‌شد، این چنین که هم‌اکنون من می‌گفتم، که نظراتی که آدمیان در نظر دارند برخی را باید ارجِ بسیار نهادن و برخی را نه.,چنین گمان می‌کنم که در همه حال توسط کسانی که به آنچه می‌گویند باور دارند چنین گفته می‌شد، همان‌طور که من اکنون گفتم، که برای بعضی از پندار‌هایی که آدمیان بدان باور دارند باید ارزش بسیار قائل شد و برای بعضی دیگر نه.
0059-003|85.|Cr.46e.2.,0059-003|82.|Cr.46e,"τοῦτο πρὸς θεῶν, ὦ Κρίτων, οὐ δοκεῖ καλῶς σοι λέγεσθαι; — ","In God's name, Crito, do you not think this is correct? ",%% not translated %%,"Sprich nun, Kriton, bei den Göttern dünkt dich dies nicht gut gesagt zu sein? ",سوگند به خدایان، ای کریتون، آیا این سخن به نظر تو درست نمی‌رسد؟,بهر ایزدان! ای کریتون، زین‌سان سخن گفتن تو را نیک در نظر نمی‌آید؟,برای خاطر خدایان، ای کریتون، آیا این گفته بر تو حق نمی‌نماید؟
0059-003|86.|Cr.47a.1.,0059-003|83.|Cr.47a,"σὺ γάρ, ὅσα γε τἀνθρώπεια, ἐκτὸς εἶ τοῦ μέλλειν ἀποθνῄσκειν αὔριον, καὶ οὐκ ἂν σὲ παρακρούοι ἡ παροῦσα συμφορά: ","For you, humanly speaking, are not involved in the necessity of dying tomorrow, and therefore present conditions would not lead your judgment astray. ","Now you, Crito, are a disinterested person who are not going to die to-morrow- at least, there is no human probability of this, and you are therefore not liable to be deceived by the circumstances in which you are placed. ","Denn du bist doch menschlichem Ansehen nach fern davon Morgen sterben zu müssen, und das bevorstehende Schicksal könnte dich nicht berücken. ",چرا که تو، به قدری که بر آدمی آشکار تواند بود، فردا از مرگ محتوم مبرا هستی و این بداقبالی پیش‌آمده تو را گمراه نخواهد کرد.,زیرا تو، در حد و حدود انسانی، از مردن مقرر فردا به دور هستی و این تیره‌بختی پیش‌آمده تو را به بیراهه نکشاند.,چرا که تو، به قدری که بر آدمی آشکار تواند بود، فردا برون از تقدیر مردن هستی و این مصیبت کنونی تو را منحرف نکند.
0059-003|87.|Cr.47a.2.,0059-003|83.|Cr.47a,"σκόπει δή — οὐχ ἱκανῶς δοκεῖ σοι λέγεσθαι ὅτι οὐ πάσας χρὴ τὰς δόξας τῶν ἀνθρώπων τιμᾶν ἀλλὰ τὰς μέν, τὰς δ᾽ οὔ, οὐδὲ πάντων ἀλλὰ τῶν μέν, τῶν δ᾽ οὔ; ","Now say, do you not think we were correct in saying that we ought not to esteem all the opinions of men, but some and not others, and not those of all men, but only of some? ","Tell me, then, whether I am right in saying that some opinions, and the opinions of some men only, are to be valued, and other opinions, and the opinions of other men, are not to be valued. ","Erwäge also: scheint dir das nicht gut gesagt daß man nicht alle Meinungen der Menschen ehren muß, sondern einige wohl, andere aber nicht? und auch nicht aller Menschen, sondern einiger ihre wohl, Anderer aber nicht? ",حال بسنج، که چنین استدلالی تو را درخور نمی‌نماید، که همه‌ی عقاید افراد را نمی‌بایست گرامی داشت، بلکه باید برخی را گرامی داشت و برخی دیگر را نه، و نه عقاید همگان را، بلکه عقاید برخی را، و عقاید برخی دیگر را نه؟,حال بیازما، که [چنین] سخن گفتن به نظر تو کافی نمی‌رسد، که نه همه‌ی نظرات آدمیان را گرامی داشتن می‌باید، بلکه برخی را [باید] و برخی را نه، و نه از همگان، بلکه از برخی، و از برخی نه؟,باری بررسی کن، که چنین برهانی به نظر تو بسنده نیست، که نمی‌بایست به تمامی پندار‌های آدمیان احترام گذاشت، بلکه باید بعضی را محترم دانست و بعضی را نه، و نه پندار‌های همگان را، بلکه پندارهای بعضی را، و پندارهای بعضی را نه؟
0059-003|88.|Cr.47a.3.,0059-003|83.|Cr.47a,τί φῄς; ,What do you think? ,I ask you whether I was right in maintaining this?,Was meinst du? ,چه می‌گویی؟,چه می‌گویی؟,چه می‌گویی؟
0059-003|89.|Cr.47a.4.,0059-003|83.|Cr.47a,ταῦτα οὐχὶ καλῶς λέγεται;,Is not this true?,%In precious sentence%,ist das nicht gut gesagt?,آیا این سخن درست نیست؟,این‌ها نیک گفته نشده است؟,این‌ها سخنانی برحق نیستند؟
0059-003|90.|Cr.47a.5.,0059-003|87.|Cr.47a.1,Κρίτων. καλῶς.,Crito. It is.,Cr. Certainly.,Kriton: Gut.,کریتون: درست است.,کریتون: نیک [است].,کریتون: برحق هستند.
0059-003|91.|Cr.47a.6.,0059-003|88.|Cr.47a.2,"Σωκράτης. οὐκοῦν τὰς μὲν χρηστὰς τιμᾶν, τὰς δὲ πονηρὰς μή;",Socrates. Then we ought to esteem the good opinions and not the bad ones?,"Soc. The good are to be regarded, and not the bad?","Sokrates: Nämlich doch die guten Meinungen soll man ehren, die schlechten nicht?",سقراط: در نتیجه، بایستی آن عقاید ارزشمند را گرامی داشت و عقاید بی‌ارزش را نه؟,سقراط: بنابراین [بایستی] آن سودمند‌ها را گرامی داشتن، اما آن بی‌فایده‌ها را نه؟,سقراط: پس می‌بایست به پندارهای سزاوار احترام گذاشت و به پندار‌های ناسزاوار نه؟
0059-003|92.|Cr.47a.7.,0059-003|89.|Cr.47a.3,Κρίτων. ναί.,Crito. Yes.,Cr. Yes.,Kriton: Ja.,کریتون: بله.,کریتون: آری.,کریتون: بله.
0059-003|93.|Cr.47a.8.,0059-003|90.|Cr.47a.4,"Σωκράτης. χρησταὶ δὲ οὐχ αἱ τῶν φρονίμων, πονηραὶ δὲ αἱ τῶν ἀφρόνων;",Socrates. And the good ones are those of the wise and the bad ones those of the foolish?,"Soc. And the opinions of the wise are good, and the opinions of the unwise are evil?","Sokrates: Und die guten, sind das nicht die der Vernünftigen, die schlechten aber die der Unvernünftigen?",سقراط: مگر نه اینکه عقاید ارزشمند از آنِ دانایان است و بی‌ارزش‌هایش از آنِ نادانان؟,سقراط: و نه اینکه سودمند‌ها از آنِ دانایان [است] و بی‌فایده‌ها از آنِ نادانان؟,سقراط: مگر نه اینکه پندار‌های سزاوار از آنِ خرمندان است و پندا‌ر‌های ناسزاوار از آنِ بی‌خردان؟
0059-003|94.|Cr.47a.9.,0059-003|91.|Cr.47a.5,Κρίτων. πῶς δ᾽ οὔ;,Crito. Of course.,Cr. Certainly.,Kriton: Wie anders?,کریتون: جز این نیست.,کریتون: چگونه [چنین] نباشد؟,کریتون: البته.
0059-003|95.|Cr.47a.10.,0059-003|92.|Cr.47a.6,"Σωκράτης. φέρε δή, πῶς αὖ τὰ τοιαῦτα ἐλέγετο; ","Socrates. Come then, what used we to say about this? ",Soc. And what was said about another matter?,"Sokrates: Wohlan, wie wurde wiederum hierüber gesprochen? ",سقراط: کنون بنگر، دگر در این باره چه گفتیم؟,سقراط: حال دریاب، دیگر درباره‌ی این‌ها چه گفته می‌شد؟,سقراط: پس بیا و درنگر، چگونه در این باب سخن گفتیم؟
0059-003|96.|Cr.47b.1.,0059-003|92.|Cr.47a.6,"γυμναζόμενος ἀνὴρ καὶ τοῦτο πράττων πότερον παντὸς ἀνδρὸς ἐπαίνῳ καὶ ψόγῳ καὶ δόξῃ τὸν νοῦν προσέχει, ἢ ἑνὸς μόνου ἐκείνου ὃς ἂν τυγχάνῃ ἰατρὸς ἢ παιδοτρίβης ὤν;","If a man is an athlete and makes that his business, does he pay attention to every man's praise and blame and opinion or to those of one man only who is a physician or a trainer?","Was the disciple in gymnastics supposed to attend to the praise and blame and opinion of every man, or of one man only- his physician or trainer, whoever that was?","Ein Mann der Leibesübungen treibt und sich dies zum eigentlichen Geschäfte macht, wird der wohl auf Jedermanns Lob und Tadel und Meinung achten, oder nur auf jenes allein, auf des Arztes oder des Turnmeisters?",آیا مردی ورزشکار که آن را پیشه‌ی خود ساخته است به ستایش و نکوهش و عقیده‌ی تمامی افراد توجه می‌کند یا فقط آن یک نفری که از قضا پزشک یا مربی باشد؟,آیا مردی ورزش‌کرده که بدان پیشه‌ور است، ذهن را به تمجید و سرزنش و نظر همه‌ی مردان معطوف می‌کند یا فقط آن یک نفری که از قضا پزشک یا مربی ورزش باشد؟,آیا مردی که ورزش می‌کند و آن را حرفه‌ی خود ساخته است به تایید و نکوهش و پندار همه‌ی افراد اعتنا می‌کند یا فقط آن یک نفری که طبیب یا مربی باشد؟
0059-003|97.|Cr.47b.2.,0059-003|94.|Cr.47b.1,Κρίτων. ἑνὸς μόνου.,Crito. To those of one man only.,Cr. Of one man only.,Kriton: Auf jenes allein.,کریتون: فقط آن یک نفر.,کریتون: تنها یکی.,کریتون: تنها همان یک نفر.
0059-003|98.|Cr.47b.3.,0059-003|95.|Cr.47b.2,Σωκράτης. οὐκοῦν φοβεῖσθαι χρὴ τοὺς ψόγους καὶ ἀσπάζεσθαι τοὺς ἐπαίνους τοὺς τοῦ ἑνὸς ἐκείνου ἀλλὰ μὴ τοὺς τῶν πολλῶν.,Socrates. Then he ought to fear the blame and welcome the praise of that one man and not of the multitude.,"Soc. And he ought to fear the censure and welcome the praise of that one only, and not of the many?","Sokrates: Also fürchten muß er auch nur den Tadel, und Freude haben nur an dem Lobe jenes Einen, und nicht der Menge?",سقراط: پس باید از نکوهش آن یک نفر باکش باشد و از ستایش او استقبال کند، و نه عموم مردم.,سقراط: بنابراین، هراسیدن از سرزنش و استقبال‌ کردن از تمجید آن یک نفر لازم است و نه از آنِ اکثریت.,سقراط: پس بایستی از نکوهش آن یک نفر بترسد و از تایید او خشنود گردد، و نه از آنِ مردمان.
0059-003|99.|Cr.47b.4.,0059-003|96.|Cr.47b.3,Κρίτων. δῆλα δή.,Crito. Obviously.,Cr. That is clear.,Kriton: Offenbar.,کریتون: واضح است.,کریتون: همانا که روشن [است].,کریتون: چنین پیداست.
0059-003|100.|Cr.47b.5.,0059-003|99.|Cr.47b.4.,"Σωκράτης. ταύτῃ ἄρα αὐτῷ πρακτέον καὶ γυμναστέον καὶ ἐδεστέον γε καὶ ποτέον, ᾗ ἂν τῷ ἑνὶ δοκῇ, τῷ ἐπιστάτῃ καὶ ἐπαΐοντι, μᾶλλον ἢ ᾗ σύμπασι τοῖς ἄλλοις.",Socrates. And he must act and exercise and eat and drink as the one man who is his director and who knows the business thinks best rather than as all the others think.,"Soc. And he ought to live and train, and eat and drink in the way which seems good to his single master who has understanding, rather than according to the opinion of all other men put together?","Sokrates: Auf die Art also muß er zu Werke gehn und sich üben und essen und trinken wie dieser Eine es gut findet, der Meister und Sachverständige, vielmehr als wie alle Andere insgesamt.",سقراط: پس می‌بایست به همان نحوی عمل نماید و ورزش کند و بخورد و بیاشامد که آن یک نفر مدیر و مدبر در نظر دارد، و نه آنچه که دیگران جملگی در نظر دارند.,سقراط: پس می‌بایست به همان نحوی عمل نماید و ورزش کند و بخورد و حتی بیاشامد که آن یک نفر در نظر داشته باشد، که مربی و خبره [است]، بیشتر از آنچه که همه‌ی آن دیگران.,سقراط: پس بایستی بدان گونه بکوشد و تمرین کند و بخورد و بنوشد که آن یک تن کارآزموده و آگاه می‌اندیشد، و نه آنچه که خیل دیگران بگویند.
0059-003|101.|Cr.47b.6.,0059-003|100.|Cr.47b.5.,Κρίτων. ἔστι ταῦτα.,Crito. That is true.,Cr. True.,Kriton: So ist es.,کریتون: چنین است.,کریتون: چنین است.,کریتون: چنین است.
0059-003|102.|Cr.47c.1.,0059-003|102.|Cr.47c.1.,Σωκράτης. εἶεν.,Socrates. Well then;,%In next sentence%,Sokrates: Wohl! ,سقراط: بسیار خوب.,سقراط: باشد.,سقراط: بسیار خوب.
0059-003|103.|Cr.47c.2.,0059-003|102.|Cr.47c.1.,"ἀπειθήσας δὲ τῷ ἑνὶ καὶ ἀτιμάσας αὐτοῦ τὴν δόξαν καὶ τοὺς ἐπαίνους, τιμήσας δὲ τοὺς τῶν πολλῶν λόγους καὶ μηδὲν ἐπαϊόντων, ἆρα οὐδὲν κακὸν πείσεται;","if he disobeys the one man and disregards his opinion and his praise, but regards words of the many who have no special knowledge, will he not come to harm?","Soc. And if he disobeys and disregards the opinion and approval of the one, and regards the opinion of the many who have no understanding, will he not suffer evil?","Ist er aber diesem Einen unfolgsam, und achtet seine Meinung und sein Lob gering, höher aber das der andern unkundigen Leute; wird ihm dann nichts übles begegnen?",اگر از آن یک نفر سرپیچی کند و عقیده و ستایش او را گرامی نداشته، و سخنان عموم مردم و افراد نابلد را گرامی دارد، آیا هیچ شری نخواهدش رسید؟,چون از آن یک نفر سرپیچی کرده و نظر و تمجید او را گرامی نداشته، و سخنان اکثریت و [افراد] غیر خبره را گرامی دارد، آیا هیچ بدی متحمل نخواهد شد؟,اگر از آن یک تن اطاعت نبرده و به پندار و تایید او احترام نگذاشته، و سخنان مردمان و افراد ناآگاه را محترم دارد، آیا دچار هیچ گزندی نخواهد شد؟
0059-003|104.|Cr.47c.3.,0059-003|103.|Cr.47c.2.,Κρίτων. πῶς γὰρ οὔ;,Crito. Of course he will.,Cr. Certainly he will.,Kriton: Wie sollte es ihm nicht?,کریتون: چرا که نه.,کریتون: چرا که نه؟,کریتون: یقیناً دچار خواهد شد.
