value,word_value,space_after,position,ve_ref,idx
γαστέρα,γαστέρα,false,38,25.t38,633
·,·,,39,25.t39,634
οἷς,οἷς,,1,26.t1,635
καὶ,καὶ,,2,26.t2,636
τοῦτο,τοῦτο,,3,26.t3,637
μέρος,μέρος,,4,26.t4,638
τρυφῆς,τρυφῆς,false,5,26.t5,639
",",",",,6,26.t6,640
ἡ,ἡ,,7,26.t7,641
περὶ,περὶ,,8,26.t8,642
ταῦτα,ταῦτα,,9,26.t9,643
ἐρεσχελία,ἐρεσχελία,,10,26.t10,644
καὶ,καὶ,,11,26.t11,645
κομψεία,κομψεία,,12,26.t12,646
τῶν,τῶν,,13,26.t13,647
ἀντιθέσεων,ἀντιθέσεων,false,14,26.t14,648
.,.,,15,26.t15,649
τίνα,τίνα,,1,27.t1,650
δὲ,δὲ,,2,27.t2,651
φιλοσοφητέον,φιλοσοφητέον,false,3,27.t3,652
",",",",,4,27.t4,653
καὶ,καὶ,,5,27.t5,654
ἐπὶ,ἐπὶ,,6,27.t6,655
πόσον,πόσον,false,7,27.t7,656
;,;,,8,27.t8,657
ὅσα,ὅσα,,1,28.t1,658
ἡμῖν,ἡμῖν,,2,28.t2,659
ἐφικτά,ἐφικτά,false,3,28.t3,660
",",",",,4,28.t4,661
καὶ,καὶ,,5,28.t5,662
ἐφ’,ἐφ’,,6,28.t6,663
ὅσον,ὅσον,,7,28.t7,664
ἡ,ἡ,,8,28.t8,665
τοῦ,τοῦ,,9,28.t9,666
ἀκούοντος,ἀκούοντος,,10,28.t10,667
ἕξις,ἕξις,,11,28.t11,668
ἐφικνεῖται,ἐφικνεῖται,,12,28.t12,669
καὶ,καὶ,,13,28.t13,670
δύναμις,δύναμις,false,14,28.t14,671
·,·,,15,28.t15,672
ἵνα,ἵνα,,1,29.t1,673
μὴ,μὴ,,2,29.t2,674
καθάπερ,καθάπερ,,3,29.t3,675
αἱ,αἱ,,4,29.t4,676
ὑπερβάλλουσαι,ὑπερβάλλουσαι,,5,29.t5,677
τῶν,τῶν,,6,29.t6,678
φωνῶν,φωνῶν,false,7,29.t7,679
",",",",,8,29.t8,680
ἢ,ἢ,,9,29.t9,681
τῶν,τῶν,,10,29.t10,682
τροφῶν,τροφῶν,false,11,29.t11,683
",",",",,12,29.t12,684
τὴν,τὴν,,13,29.t13,685
ἀκοὴν,ἀκοὴν,,14,29.t14,686
βλάπτουσιν,βλάπτουσιν,,15,29.t15,687
ἢ,ἢ,,16,29.t16,688
τὰ,τὰ,,17,29.t17,689
σώματα,σώματα,false,18,29.t18,690
",",",",,19,29.t19,691
—,—,,20,29.t20,692
εἰ,εἰ,,21,29.t21,693
βούλει,βούλει,,22,29.t22,694
δέ,δέ,false,23,29.t23,695
",",",",,24,29.t24,696
τῶν,τῶν,,25,29.t25,697
φορτίων,φορτίων,,26,29.t26,698
τὰ,τὰ,,27,29.t27,699
ὑπὲρ,ὑπὲρ,,28,29.t28,700
δύναμιν,δύναμιν,,29,29.t29,701
τοὺς,τοὺς,,30,29.t30,702
ὑποβαίνοντας,ὑποβαίνοντας,false,31,29.t31,703
",",",",,32,29.t32,704
ἢ,ἢ,,33,29.t33,705
τὴν,τὴν,,34,29.t34,706
γῆν,γῆν,,35,29.t35,707
τῶν,τῶν,,36,29.t36,708
ὑετῶν,ὑετῶν,,37,29.t37,709
οἱ,οἱ,,38,29.t38,710
σφοδρότεροι,σφοδρότεροι,false,39,29.t39,711
",",",",,40,29.t40,712
—,—,,41,29.t41,713
οὕτω,οὕτω,,42,29.t42,714
δὴ,δὴ,,43,29.t43,715
καὶ,καὶ,,44,29.t44,716
οὗτοι,οὗτοι,,45,29.t45,717
τοῖς,τοῖς,,46,29.t46,718
στερροῖς,στερροῖς,false,47,29.t47,719
",",",",,48,29.t48,720
ἵν,ἵν,,49,29.t49,721
οὕτως,οὕτως,,50,29.t50,722
εἴπω,εἴπω,false,51,29.t51,723
",",",",,52,29.t52,724
τῶν,τῶν,,53,29.t53,725
λόγων,λόγων,,54,29.t54,726
καταπιεσθέντες,καταπιεσθέντες,,55,29.t55,727
καὶ,καὶ,,56,29.t56,728
βαρυνθέντες,βαρυνθέντες,,57,29.t57,729
ζημιωθεῖεν,ζημιωθεῖεν,,58,29.t58,730
καὶ,καὶ,,59,29.t59,731
εἰς,εἰς,,60,29.t60,732
τὴν,τὴν,,61,29.t61,733
ἀρχαίαν,ἀρχαίαν,,62,29.t62,734
δύναμιν,δύναμιν,false,63,29.t63,735
.,.,,64,29.t64,736
καὶ,καὶ,,1,30.t1,737
οὐ,οὐ,,2,30.t2,738
λέγω,λέγω,,3,30.t3,739
τοῦτο,τοῦτο,,4,30.t4,740
μὴ,μὴ,,5,30.t5,741
δεῖν,δεῖν,,6,30.t6,742
πάντοτε,πάντοτε,,7,30.t7,743
μεμνῆσθαι,μεμνῆσθαι,,8,30.t8,744
θεοῦ,θεοῦ,false,9,30.t9,745
.,.,,10,30.t10,746
μὴ,μὴ,,1,31.t1,747
πάλιν,πάλιν,,2,31.t2,748
ἐπιφυέσθωσαν,ἐπιφυέσθωσαν,,3,31.t3,749
ἡμῖν,ἡμῖν,,4,31.t4,750
οἱ,οἱ,,5,31.t5,751
πάντα,πάντα,,6,31.t6,752
εὔκολοι,εὔκολοι,,7,31.t7,753
καὶ,καὶ,,8,31.t8,754
ταχεῖς,ταχεῖς,false,9,31.t9,755
.,.,,10,31.t10,756
μνημονευτέον,μνημονευτέον,,1,32.t1,757
γὰρ,γὰρ,,2,32.t2,758
θεοῦ,θεοῦ,,3,32.t3,759
μᾶλλον,μᾶλλον,,4,32.t4,760
ἢ,ἢ,,5,32.t5,761
ἀναπνευστέον,ἀναπνευστέον,false,6,32.t6,762
·,·,,7,32.t7,763
καί,καί,false,1,33.t1,764
",",",",,2,33.t2,765
εἰ,εἰ,,3,33.t3,766
οἷόν,οἷόν,,4,33.t4,767
τε,τε,,5,33.t5,768
τοῦτο,τοῦτο,,6,33.t6,769
εἰπεῖν,εἰπεῖν,false,7,33.t7,770
",",",",,8,33.t8,771
μηδὲ,μηδὲ,,9,33.t9,772
ἄλλο,ἄλλο,,10,33.t10,773
τι,τι,,11,33.t11,774
ἢ,ἢ,,12,33.t12,775
τοῦτο,τοῦτο,,13,33.t13,776
πρακτέον,πρακτέον,false,14,33.t14,777
.,.,,15,33.t15,778
κἀγὼ,κἀγὼ,,1,34.t1,779
τῶν,τῶν,,2,34.t2,780
ἐπαινούντων,ἐπαινούντων,,3,34.t3,781
εἰμὶ,εἰμὶ,,4,34.t4,782
τὸν,τὸν,,5,34.t5,783
λόγον,λόγον,false,6,34.t6,784
",",",",,7,34.t7,785
ὃς,ὃς,,8,34.t8,786
μελετᾷν,μελετᾷν,,9,34.t9,787
ἡμέρας,ἡμέρας,,10,34.t10,788
καὶ,καὶ,,11,34.t11,789
νυκτὸς,νυκτὸς,,12,34.t12,790
διακελεύεται,διακελεύεται,false,13,34.t13,791
",",",",,14,34.t14,792
καὶ,καὶ,,15,34.t15,793
ἑσπέρας,ἑσπέρας,,16,34.t16,794
καὶ,καὶ,,17,34.t17,795
πρωὶ,πρωὶ,,18,34.t18,796
καὶ,καὶ,,19,34.t19,797
μεσημβρίς,μεσημβρίς,,20,34.t20,798
διηγεῖσθαι,διηγεῖσθαι,false,21,34.t21,799
",",",",,22,34.t22,800
καὶ,καὶ,,23,34.t23,801
εὐλογεῖν,εὐλογεῖν,,24,34.t24,802
τὸν,τὸν,,25,34.t25,803
κύριον,κύριον,,26,34.t26,804
ἐν,ἐν,,27,34.t27,805
παντὶ,παντὶ,,28,34.t28,806
καιρῷ,καιρῷ,false,29,34.t29,807
·,·,,30,34.t30,808
εἰ,εἰ,,1,35.t1,809
δεῖ,δεῖ,,2,35.t2,810
καὶ,καὶ,,3,35.t3,811
τὸ,τὸ,,4,35.t4,812
Μωυσέως,Μωυσέως,,5,35.t5,813
εἰπεῖν,εἰπεῖν,false,6,35.t6,814
",",",",,7,35.t7,815
κοιταζόμενον,κοιταζόμενον,false,8,35.t8,816
",",",",,9,35.t9,817
διανστάμενον,διανστάμενον,false,10,35.t10,818
",",",",,11,35.t11,819
ὁδοιποροῦντα,ὁδοιποροῦντα,false,12,35.t12,820
",",",",,13,35.t13,821
ὅ,ὅ,,14,35.t14,822
τι,τι,,15,35.t15,823
οὖν,οὖν,,16,35.t16,824
ἄλλο,ἄλλο,,17,35.t17,825
πράττοντα,πράττοντα,false,18,35.t18,826
",",",",,19,35.t19,827
καὶ,καὶ,,20,35.t20,828
τῆ,τῆ,,21,35.t21,829
μνήμη,μνήμη,,22,35.t22,830
τυποῦσθαι,τυποῦσθαι,,23,35.t23,831
πρὸς,πρὸς,,24,35.t24,832
καθαρότητα,καθαρότητα,false,25,35.t25,833
.,.,,26,35.t26,834
ὥστε,ὥστε,,1,36.t1,835
οὐ,οὐ,,2,36.t2,836
τὸ,τὸ,,3,36.t3,837
μεμνῆσθαι,μεμνῆσθαι,,4,36.t4,838
δίηνεκῶς,δίηνεκῶς,,5,36.t5,839
κωλύω,κωλύω,false,6,36.t6,840
",",",",,7,36.t7,841
τὸ,τὸ,,8,36.t8,842
θεολογεῖν,θεολογεῖν,,9,36.t9,843
δέ,δέ,false,10,36.t10,844
·,·,,11,36.t11,845
οὐδὲ,οὐδὲ,,1,37.t1,846
τὴν,τὴν,,2,37.t2,847
θεολογίαν,θεολογίαν,false,3,37.t3,848
",",",",,4,37.t4,849
ὥσπερ,ὥσπερ,,5,37.t5,850
ἀσεβές,ἀσεβές,false,6,37.t6,851
",",",",,7,37.t7,852
ἀλλὰ,ἀλλὰ,,8,37.t8,853
τὴν,τὴν,,9,37.t9,854
ἀκαιρίαν,ἀκαιρίαν,false,10,37.t10,855
·,·,,11,37.t11,856
οὐδὲ,οὐδὲ,,1,38.t1,857
τὴν,τὴν,,2,38.t2,858
διδασκαλίαν,διδασκαλίαν,false,3,38.t3,859
",",",",,4,38.t4,860
ἀλλὰ,ἀλλὰ,,5,38.t5,861
τὴν,τὴν,,6,38.t6,862
ἀμετρίαν,ἀμετρίαν,false,7,38.t7,863
.,.,,8,38.t8,864
ἢ,ἢ,,1,39.t1,865
μέλιτος,μέλιτος,,2,39.t2,866
μὲν,μὲν,,3,39.t3,867
πλησμονὴ,πλησμονὴ,,4,39.t4,868
καὶ,καὶ,,5,39.t5,869
κόρος,κόρος,,6,39.t6,870
ἔμετον,ἔμετον,,7,39.t7,871
ἐργάζεται,ἐργάζεται,false,8,39.t8,872
",",",",,9,39.t9,873
καίπερ,καίπερ,,10,39.t10,874
ὄντος,ὄντος,,11,39.t11,875
μέλιτος,μέλιτος,false,12,39.t12,876
",",",",,13,39.t13,877
καὶ,καὶ,,14,39.t14,878
καιρὸς,καιρὸς,,15,39.t15,879
τῷ,τῷ,,16,39.t16,880
παντὶ,παντὶ,,17,39.t17,881
πράγματι,πράγματι,false,18,39.t18,882
",",",",,19,39.t19,883
ὡς,ὡς,,20,39.t20,884
Σολομῶντι,Σολομῶντι,,21,39.t21,885
κἀμοὶ,κἀμοὶ,,22,39.t22,886
δοκεῖ,δοκεῖ,false,23,39.t23,887
",",",",,24,39.t24,888
καὶ,καὶ,,25,39.t25,889
τὸ,τὸ,,26,39.t26,890
καλὸν,καλὸν,,27,39.t27,891
οὐ,οὐ,,28,39.t28,892
καλόν,καλόν,false,29,39.t29,893
",",",",,30,39.t30,894
ὅταν,ὅταν,,31,39.t31,895
μὴ,μὴ,,32,39.t32,896
καλῶς,καλῶς,,33,39.t33,897
γίνηται,γίνηται,false,34,39.t34,898
",",",",,35,39.t35,899
ὥσπερ,ὥσπερ,,36,39.t36,900
ἄνθος,ἄνθος,,37,39.t37,901
ἐν,ἐν,,38,39.t38,902
χειμῶνι,χειμῶνι,,39,39.t39,903
παντελῶς,παντελῶς,,40,39.t40,904
ἄωρον,ἄωρον,false,41,39.t41,905
",",",",,42,39.t42,906
καὶ,καὶ,,43,39.t43,907
γυναιξὶ,γυναιξὶ,,44,39.t44,908
κόσμος,κόσμος,,45,39.t45,909
ἀνδρεῖος,ἀνδρεῖος,false,46,39.t46,910
",",",",,47,39.t47,911
ἢ,ἢ,,48,39.t48,912
γυναικεῖος,γυναικεῖος,,49,39.t49,913
ἀνδράσι,ἀνδράσι,false,50,39.t50,914
",",",",,51,39.t51,915
καὶ,καὶ,,52,39.t52,916
πένθει,πένθει,,53,39.t53,917
γεωμετρία,γεωμετρία,false,54,39.t54,918
",",",",,55,39.t55,919
καὶ,καὶ,,56,39.t56,920
πότῳ,πότῳ,,57,39.t57,921
δάκρυον,δάκρυον,false,58,39.t58,922
",",",",,59,39.t59,923
ἐνταῦθα,ἐνταῦθα,,60,39.t60,924
δὲ,δὲ,,61,39.t61,925
μόνον,μόνον,,62,39.t62,926
τὸν,τὸν,,63,39.t63,927
καιρὸν,καιρὸν,,64,39.t64,928
ἀτιμάσομεν,ἀτιμάσομεν,false,65,39.t65,929
",",",",,66,39.t66,930
οὗ,οὗ,,67,39.t67,931
μάλιστα,μάλιστα,,68,39.t68,932
τιμητέον,τιμητέον,,69,39.t69,933
τὸ,τὸ,,70,39.t70,934
εὔκαιρον,εὔκαιρον,false,71,39.t71,935
;,;,,72,39.t72,936
Μηδαμῶς,Μηδαμῶς,false,1,40.t1,937
",",",",,2,40.t2,938
ὦ,ὦ,,3,40.t3,939
φίλοι,φίλοι,,4,40.t4,940
καὶ,καὶ,,5,40.t5,941
ἀδελφοί,ἀδελφοί,false,6,40.t6,942
·,·,,7,40.t7,943
ἀδελφοὺς,ἀδελφοὺς,,1,41.t1,944
γὰρ,γὰρ,,2,41.t2,945
ὑμᾶς,ὑμᾶς,,3,41.t3,946
ἔτι,ἔτι,,4,41.t4,947
καλῶ,καλῶ,false,5,41.t5,948
",",",",,6,41.t6,949
καίπερ,καίπερ,,7,41.t7,950
οὐκ,οὐκ,,8,41.t8,951
ἀδελφικῶς,ἀδελφικῶς,,9,41.t9,952
ἔχοντας,ἔχοντας,false,10,41.t10,953
·,·,,11,41.t11,954
μὴ,μὴ,,1,42.t1,955
οὕτω,οὕτω,,2,42.t2,956
διανοώμεθα,διανοώμεθα,false,3,42.t3,957
",",",",,4,42.t4,958
μηδὲ,μηδὲ,,5,42.t5,959
καθάπερ,καθάπερ,,6,42.t6,960
ἵπποι,ἵπποι,,7,42.t7,961
θερμοὶ,θερμοὶ,,8,42.t8,962
καὶ,καὶ,,9,42.t9,963
δυσκάθεκτοι,δυσκάθεκτοι,false,10,42.t10,964
",",",",,11,42.t11,965
τὸν,τὸν,,12,42.t12,966
ἐπιβάτην,ἐπιβάτην,,13,42.t13,967
λογισμὸν,λογισμὸν,,14,42.t14,968
ἀπορρίψαντες,ἀπορρίψαντες,false,15,42.t15,969
",",",",,16,42.t16,970
καὶ,καὶ,,17,42.t17,971
τὴν,τὴν,,18,42.t18,972
καλῶς,καλῶς,,19,42.t19,973
ἄγχουσαν,ἄγχουσαν,,20,42.t20,974
εὐλάβειαν,εὐλάβειαν,,21,42.t21,975
ἀποπτύσαντες,ἀποπτύσαντες,false,22,42.t22,976
",",",",,23,42.t23,977
πόρρω,πόρρω,,24,42.t24,978
τῆς,τῆς,,25,42.t25,979
νύσσης,νύσσης,,26,42.t26,980
θέωμεν,θέωμεν,false,27,42.t27,981
·,·,,28,42.t28,982
ἀλλ’,ἀλλ’,,1,43.t1,983
εἴσω,εἴσω,,2,43.t2,984
τῶν,τῶν,,3,43.t3,985
ἡμετέρων,ἡμετέρων,,4,43.t4,986
ὅρων,ὅρων,,5,43.t5,987
φιλοσοφῶμεν,φιλοσοφῶμεν,,6,43.t6,988
",",",",,7,43.t7,989
καὶ,καὶ,,8,43.t8,990
μὴ,μὴ,,9,43.t9,991
εἰς,εἰς,,10,43.t10,992
Αἴγυπτον,Αἴγυπτον,,11,43.t11,993
ἐκφερώμεθα,ἐκφερώμεθα,,12,43.t12,994
",",",",,13,43.t13,995
μηδὲ,μηδὲ,,14,43.t14,996
εἰς,εἰς,,15,43.t15,997
Ἀσσυρίους,Ἀσσυρίους,,16,43.t16,998
κατασυρώμεθα,κατασυρώμεθα,,17,43.t17,999
",",",",,18,43.t18,1000
μηδὲ,μηδὲ,,19,43.t19,1001
ᾄδωμεν,ᾄδωμεν,,20,43.t20,1002
τὴν,τὴν,,21,43.t21,1003
ᾠδὴν,ᾠδὴν,,22,43.t22,1004
κυρίου,κυρίου,,23,43.t23,1005
ἐπὶ,ἐπὶ,,24,43.t24,1006
γῆς,γῆς,,25,43.t25,1007
ἀλλοτρίας,ἀλλοτρίας,,26,43.t26,1008
",",",",,27,43.t27,1009
πάσης,πάσης,,28,43.t28,1010
ἀκοῆς,ἀκοῆς,,29,43.t29,1011
λέγω,λέγω,,30,43.t30,1012
",",",",,31,43.t31,1013
ξένης,ξένης,,32,43.t32,1014
τε,τε,,33,43.t33,1015
καὶ,καὶ,,34,43.t34,1016
ἡμετέρας,ἡμετέρας,,35,43.t35,1017
",",",",,36,43.t36,1018
ἐχθρᾶς,ἐχθρᾶς,,37,43.t37,1019
καὶ,καὶ,,38,43.t38,1020
φιλίας,φιλίας,,39,43.t39,1021
",",",",,40,43.t40,1022
εὐγνώμονος,εὐγνώμονος,,41,43.t41,1023
καὶ,καὶ,,42,43.t42,1024
ἀγνώμονος,ἀγνώμονος,,43,43.t43,1025
",",",",,44,43.t44,1026
ἣ,ἣ,,45,43.t45,1027
λίαν,λίαν,,46,43.t46,1028
ἐπιμελῶς,ἐπιμελῶς,,47,43.t47,1029
τηρεῖ,τηρεῖ,,48,43.t48,1030
τὰ,τὰ,,49,43.t49,1031
ἡμέτερα,ἡμέτερα,,50,43.t50,1032
",",",",,51,43.t51,1033
καὶ,καὶ,,52,43.t52,1034
βούλοιτο,βούλοιτο,,53,43.t53,1035
ἂν,ἂν,,54,43.t54,1036
τὸν,τὸν,,55,43.t55,1037
σπινθῆρα,σπινθῆρα,,56,43.t56,1038
τῶν,τῶν,,57,43.t57,1039
ἐν,ἐν,,58,43.t58,1040
ἡμῖν,ἡμῖν,,59,43.t59,1041
κακῶν,κακῶν,,60,43.t60,1042
γενέσθαι,γενέσθαι,,61,43.t61,1043
φλόγα,φλόγα,,62,43.t62,1044
",",",",,63,43.t63,1045
ἐξάπτει,ἐξάπτει,,64,43.t64,1046
τε,τε,,65,43.t65,1047
καὶ,καὶ,,66,43.t66,1048
ἀναρριπίζει,ἀναρριπίζει,,67,43.t67,1049
καὶ,καὶ,,68,43.t68,1050
εἰς,εἰς,,69,43.t69,1051
οὐρανὸν,οὐρανὸν,,70,43.t70,1052
αἴρει,αἴρει,,71,43.t71,1053
ταῖς,ταῖς,,72,43.t72,1054
παρ’,παρ’,,73,43.t73,1055
ἑαυτῆς,ἑαυτῆς,,74,43.t74,1056
αὔραις,αὔραις,,75,43.t75,1057
λανθάνουσα,λανθάνουσα,,76,43.t76,1058
",",",",,77,43.t77,1059
καὶ,καὶ,,78,43.t78,1060
ποιεῖ,ποιεῖ,,79,43.t79,1061
τῆς,τῆς,,80,43.t80,1062
Βαβυλωνίας,Βαβυλωνίας,,81,43.t81,1063
φλογὸς,φλογὸς,,82,43.t82,1064
τὰ,τὰ,,83,43.t83,1065
κύκλῳ,κύκλῳ,,84,43.t84,1066
καταφλεγούσης,καταφλεγούσης,,85,43.t85,1067
ὑψηλοτέραν,ὑψηλοτέραν,false,86,43.t86,1068
.,.,,87,43.t87,1069
ἐπειδὴ,ἐπειδὴ,,1,44.t1,1070
γὰρ,γὰρ,,2,44.t2,1071
οὐκ,οὐκ,,3,44.t3,1072
ἐν,ἐν,,4,44.t4,1073
τοῖς,τοῖς,,5,44.t5,1074
ἑαυτῶν,ἑαυτῶν,,6,44.t6,1075
δόγμασιν,δόγμασιν,,7,44.t7,1076
ἔχουσι,ἔχουσι,,8,44.t8,1077
τὴν,τὴν,,9,44.t9,1078
ἰσχύν,ἰσχύν,false,10,44.t10,1079
",",",",,11,44.t11,1080
ἐν,ἐν,,12,44.t12,1081
τοῖς,τοῖς,,13,44.t13,1082
ἡμετέροις,ἡμετέροις,,14,44.t14,1083
σαθροῖς,σαθροῖς,,15,44.t15,1084
ταύτην,ταύτην,,16,44.t16,1085
θηρεύουσι,θηρεύουσι,false,17,44.t17,1086
",",",",,18,44.t18,1087
καὶ,καὶ,,19,44.t19,1088
διὰ,διὰ,,20,44.t20,1089
τοῦτο,τοῦτο,false,21,44.t21,1090
",",",",,22,44.t22,1091
ὥσπερ,ὥσπερ,,23,44.t23,1092
αἱ,αἱ,,24,44.t24,1093
μυῖαι,μυῖαι,,25,44.t25,1094
τοῖς,τοῖς,,26,44.t26,1095
τραύμασιν,τραύμασιν,false,27,44.t27,1096
",",",",,28,44.t28,1097
οὕτω,οὕτω,,29,44.t29,1098
τοῖς,τοῖς,,30,44.t30,1099
ἡμετέροις,ἡμετέροις,,31,44.t31,1100
ἐπιτίθενται,ἐπιτίθενται,,32,44.t32,1101
—,—,,33,44.t33,1102
εἴτε,εἴτε,,34,44.t34,1103
ἀτυχήμασι,ἀτυχήμασι,,35,44.t35,1104
χρὴ,χρὴ,,36,44.t36,1105
λέγειν,λέγειν,false,37,44.t37,1106
",",",",,38,44.t38,1107
εἴτε,εἴτε,,39,44.t39,1108
ἁμαρτήμασιν,ἁμαρτήμασιν,false,40,44.t40,1109
.,.,,41,44.t41,1110
ἁλλ’,ἁλλ’,,1,45.t1,1111
ἡμεῖς,ἡμεῖς,,2,45.t2,1112
γε,γε,,3,45.t3,1113
μὴ,μὴ,,4,45.t4,1114
ἐπὶ,ἐπὶ,,5,45.t5,1115
πλεῖον,πλεῖον,,6,45.t6,1116
ἡμᾶς,ἡμᾶς,,7,45.t7,1117
αὐτοὺς,αὐτοὺς,,8,45.t8,1118
ἀγνοήσωμεν,ἀγνοήσωμεν,false,9,45.t9,1119
",",",",,10,45.t10,1120
μηδὲ,μηδὲ,,11,45.t11,1121
τὸ,τὸ,,12,45.t12,1122
περὶ,περὶ,,13,45.t13,1123
ταῦτα,ταῦτα,,14,45.t14,1124
κόσμιον,κόσμιον,,15,45.t15,1125
ἀτιμάσωμεν,ἀτιμάσωμεν,false,16,45.t16,1126
·,·,,17,45.t17,1127
ἀλλ’,ἀλλ’,,1,46.t1,1128
εἰ,εἰ,,2,46.t2,1129
μὴ,μὴ,,3,46.t3,1130
τὴν,τὴν,,4,46.t4,1131
ἔχθραν,ἔχθραν,,5,46.t5,1132
καταλύσασθαι,καταλύσασθαι,,6,46.t6,1133
δυνατόν,δυνατόν,false,7,46.t7,1134
",",",",,8,46.t8,1135
ἐκεῖνό,ἐκεῖνό,,9,46.t9,1136
γε,γε,,10,46.t10,1137
συμβῶμεν,συμβῶμεν,,11,46.t11,1138
ἀλλήλοις,ἀλλήλοις,false,12,46.t12,1139
",",",",,13,46.t13,1140
μυστικῶς,μυστικῶς,,14,46.t14,1141
τὰ,τὰ,,15,46.t15,1142
μυστικὰ,μυστικὰ,,16,46.t16,1143
φθέγγεσθαι,φθέγγεσθαι,false,17,46.t17,1144
",",",",,18,46.t18,1145
καὶ,καὶ,,19,46.t19,1146
ἁγίως,ἁγίως,,20,46.t20,1147
τὰ,τὰ,,21,46.t21,1148
ἅγια,ἅγια,false,22,46.t22,1149
",",",",,23,46.t23,1150
καὶ,καὶ,,24,46.t24,1151
μὴ,μὴ,,25,46.t25,1152
ῥίπτειν,ῥίπτειν,,26,46.t26,1153
εἰς,εἰς,,27,46.t27,1154
βεβήλους,βεβήλους,,28,46.t28,1155
ἀκοὰς,ἀκοὰς,,29,46.t29,1156
τὰ,τὰ,,30,46.t30,1157
μὴ,μὴ,,31,46.t31,1158
ἔκφορα,ἔκφορα,false,32,46.t32,1159
",",",",,33,46.t33,1160
μηδὲ,μηδὲ,,34,46.t34,1161
σεμνοτέρους,σεμνοτέρους,,35,46.t35,1162
ἡμῶν,ἡμῶν,,36,46.t36,1163
ἀποφαίνωμεν,ἀποφαίνωμεν,,37,46.t37,1164
τοὺς,τοὺς,,38,46.t38,1165
προσκυνοῦντας,προσκυνοῦντας,,39,46.t39,1166
τοῖς,τοῖς,,40,46.t40,1167
δαιμονίοις,δαιμονίοις,,41,46.t41,1168
καὶ,καὶ,,42,46.t42,1169
τῶν,τῶν,,43,46.t43,1170
αἰσχρῶν,αἰσχρῶν,,44,46.t44,1171
μύθων,μύθων,,45,46.t45,1172
καὶ,καὶ,,46,46.t46,1173
πραγμάτων,πραγμάτων,,47,46.t47,1174
θεραπευτάς,θεραπευτάς,false,48,46.t48,1175
",",",",,49,46.t49,1176
οἳ,οἳ,,50,46.t50,1177
θᾶττον,θᾶττον,,51,46.t51,1178
ἂν,ἂν,,52,46.t52,1179
τοῦ,τοῦ,,53,46.t53,1180
αἵματος,αἵματος,,54,46.t54,1181
ἢ,ἢ,,55,46.t55,1182
λόγων,λόγων,,56,46.t56,1183
ἔστιν,ἔστιν,,57,46.t57,1184
ὧν,ὧν,,58,46.t58,1185
μεταδοῖεν,μεταδοῖεν,,59,46.t59,1186
τοῖς,τοῖς,,60,46.t60,1187
ἀμυήτοις,ἀμυήτοις,false,61,46.t61,1188
.,.,,62,46.t62,1189
ἀλλ’,ἀλλ’,,1,47.t1,1190
εἰδῶμεν,εἰδῶμεν,false,2,47.t2,1191
",",",",,3,47.t3,1192
ὥσπερ,ὥσπερ,,4,47.t4,1193
ἐσθῆτος,ἐσθῆτος,,5,47.t5,1194
καὶ,καὶ,,6,47.t6,1195
διαίτης,διαίτης,,7,47.t7,1196
καὶ,καὶ,,8,47.t8,1197
γέλωτος,γέλωτος,,9,47.t9,1198
καὶ,καὶ,,10,47.t10,1199
βαδίσματος,βαδίσματος,,11,47.t11,1200
οὖσάν,οὖσάν,,12,47.t12,1201
τινα,τινα,,13,47.t13,1202
κοσμιότητα,κοσμιότητα,false,14,47.t14,1203
",",",",,15,47.t15,1204
οὕτω,οὕτω,,16,47.t16,1205
καὶ,καὶ,,17,47.t17,1206
λόγου,λόγου,,18,47.t18,1207
καὶ,καὶ,,19,47.t19,1208
σιωπῆς,σιωπῆς,false,20,47.t20,1209
",",",",,21,47.t21,1210
ὅτι,ὅτι,,22,47.t22,1211
καὶ,καὶ,,23,47.t23,1212
λόγον,λόγον,,24,47.t24,1213
πρεσβεύομεν,πρεσβεύομεν,,25,47.t25,1214
μετὰ,μετὰ,,26,47.t26,1215
τῶν,τῶν,,27,47.t27,1216
ἄλλων,ἄλλων,,28,47.t28,1217
τοῦ,τοῦ,,29,47.t29,1218
θεοῦ,θεοῦ,,30,47.t30,1219
προσηγοριῶν,προσηγοριῶν,,31,47.t31,1220
καὶ,καὶ,,32,47.t32,1221
δυνάμεων,δυνάμεων,false,33,47.t33,1222
.,.,,34,47.t34,1223
ἔστω,ἔστω,,1,48.t1,1224
καὶ,καὶ,,2,48.t2,1225
τὸ,τὸ,,3,48.t3,1226
φιλόνεικον,φιλόνεικον,,4,48.t4,1227
ἡμῶν,ἡμῶν,,5,48.t5,1228
ἔννομον,ἔννομον,false,6,48.t6,1229
.,.,,7,48.t7,1230
Τί,Τί,,1,49.t1,1231
γέννησιν,γέννησιν,,2,49.t2,1232
ἀκούει,ἀκούει,,3,49.t3,1233
θεοῦ,θεοῦ,,4,49.t4,1234
καὶ,καὶ,,5,49.t5,1235
κτίσιν,κτίσιν,false,6,49.t6,1236
",",",",,7,49.t7,1237
καὶ,καὶ,,8,49.t8,1238
θεὸν,θεὸν,,9,49.t9,1239
οὐκ,οὐκ,,10,49.t10,1240
ὄντων,ὄντων,false,11,49.t11,1241
",",",",,12,49.t12,1242
καὶ,καὶ,,13,49.t13,1243
τομὴν,τομὴν,,14,49.t14,1244
καὶ,καὶ,,15,49.t15,1245
